cityid,citylevel,min_htlh_book_per_pcnt,max_htlh_book_per_pcnt,min_htlh_log_novoters,max_htlh_log_novoters,min_htlh_isreturn,max_htlh_isreturn,min_htlr_s_price_per_hisprice,max_htlr_s_price_per_hisprice,min_htlr_avg_by_price,max_htlr_avg_by_price,min_htlr_rev_by_price,max_htlr_rev_by_price,min_userh_meanprice,max_userh_meanprice,min_userh_is_price_sensity,max_userh_is_price_sensity,min_userh_ordernum,max_userh_ordernum,min_poi_dist_wilson,max_poi_dist_wilson,min_inter_star_dist_1,max_inter_star_dist_1,min_inter_star_dist_2,max_inter_star_dist_2,min_inter_star_dist_3,max_inter_star_dist_3,min_inter_star_dist_4,max_inter_star_dist_4,min_inter_star_dist_5,max_inter_star_dist_5,min_inter_log_ciisum_dist_1,max_inter_log_ciisum_dist_1,min_inter_log_ciisum_dist_2,max_inter_log_ciisum_dist_2,min_inter_log_ciisum_dist_3,max_inter_log_ciisum_dist_3,min_inter_log_ciisum_dist_4,max_inter_log_ciisum_dist_4,min_inter_log_ciisum_dist_5,max_inter_log_ciisum_dist_5,min_inter_commissionfirst_dist_1,max_inter_commissionfirst_dist_1,min_inter_commissionfirst_dist_2,max_inter_commissionfirst_dist_2,min_inter_commissionfirst_dist_3,max_inter_commissionfirst_dist_3,min_inter_commissionfirst_dist_4,max_inter_commissionfirst_dist_4,min_inter_commissionfirst_dist_5,max_inter_commissionfirst_dist_5,min_inter_s_price_dist_1,max_inter_s_price_dist_1,min_inter_s_price_dist_2,max_inter_s_price_dist_2,min_inter_s_price_dist_3,max_inter_s_price_dist_3,min_inter_s_price_dist_4,max_inter_s_price_dist_4,min_inter_s_price_dist_5,max_inter_s_price_dist_5,min_userh_meanprice_delta_abs,max_userh_meanprice_delta_abs,d
13,LevelTwoA,0,0.03658779,2.5866477,8.748778,0,0.976002,0.5998386,2.4152794,0.38594082,2.6139545,0.011666666,0.016333334,134.9701,735.8155,-1.14E-05,0.45811388,1,44,0,0.3085319,0,0.02,0,0.004705882,0,0.0025,0,0.001304348,0,3.23E-04,0,0.023890126,0,0.005436717,0,0.002659323,0,0.001303222,0,2.43E-04,1.41E-07,18.00464,6.15E-08,3.0590384,3.80E-09,1.5452101,5.79E-09,0.68719375,2.31E-09,0.044220936,0,2.248983,0,0.51166075,0,0.2674162,0,0.12769239,0,0.026901005,10.62765,640.77203,2017/9/10
14,LevelTwoA,0,0.03658779,2.5866477,8.748778,0,0.976002,0.5998386,2.4152794,0.38594082,2.6139545,0.011666666,0.016333334,134.9701,735.8155,-1.14E-05,0.45811388,1,44,0,0.3085319,0,0.02,0,0.004705882,0,0.0025,0,0.001304348,0,3.23E-04,0,0.023890126,0,0.005436717,0,0.002659323,0,0.001303222,0,2.43E-04,1.41E-07,18.00464,6.15E-08,3.0590384,3.80E-09,1.5452101,5.79E-09,0.68719375,2.31E-09,0.044220936,0,2.248983,0,0.51166075,0,0.2674162,0,0.12769239,0,0.026901005,10.62765,640.77203,2017/9/10
15,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
16,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
17,LevelTwoA,0,0.03658779,2.5866477,8.748778,0,0.976002,0.5998386,2.4152794,0.38594082,2.6139545,0.011666666,0.016333334,134.9701,735.8155,-1.14E-05,0.45811388,1,44,0,0.3085319,0,0.02,0,0.004705882,0,0.0025,0,0.001304348,0,3.23E-04,0,0.023890126,0,0.005436717,0,0.002659323,0,0.001303222,0,2.43E-04,1.41E-07,18.00464,6.15E-08,3.0590384,3.80E-09,1.5452101,5.79E-09,0.68719375,2.31E-09,0.044220936,0,2.248983,0,0.51166075,0,0.2674162,0,0.12769239,0,0.026901005,10.62765,640.77203,2017/9/10
18,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
19,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
20,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
21,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
22,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
23,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
24,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
25,LevelTwoA,0,0.03658779,2.5866477,8.748778,0,0.976002,0.5998386,2.4152794,0.38594082,2.6139545,0.011666666,0.016333334,134.9701,735.8155,-1.14E-05,0.45811388,1,44,0,0.3085319,0,0.02,0,0.004705882,0,0.0025,0,0.001304348,0,3.23E-04,0,0.023890126,0,0.005436717,0,0.002659323,0,0.001303222,0,2.43E-04,1.41E-07,18.00464,6.15E-08,3.0590384,3.80E-09,1.5452101,5.79E-09,0.68719375,2.31E-09,0.044220936,0,2.248983,0,0.51166075,0,0.2674162,0,0.12769239,0,0.026901005,10.62765,640.77203,2017/9/10
26,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
27,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
28,LevelTwoA,0,0.03658779,2.5866477,8.748778,0,0.976002,0.5998386,2.4152794,0.38594082,2.6139545,0.011666666,0.016333334,134.9701,735.8155,-1.14E-05,0.45811388,1,44,0,0.3085319,0,0.02,0,0.004705882,0,0.0025,0,0.001304348,0,3.23E-04,0,0.023890126,0,0.005436717,0,0.002659323,0,0.001303222,0,2.43E-04,1.41E-07,18.00464,6.15E-08,3.0590384,3.80E-09,1.5452101,5.79E-09,0.68719375,2.31E-09,0.044220936,0,2.248983,0,0.51166075,0,0.2674162,0,0.12769239,0,0.026901005,10.62765,640.77203,2017/9/10
30,LevelOne,0,0.033408076,2.6390574,8.922585,0,0.97948056,0.583449,1.6009835,0.42415103,4.0323753,0.010995914,0.016,153.92363,888.3418,-6.86E-06,0.5381525,1,50,0,0.29934472,0,0.016,0,0.005,0,0.002714568,0,0.001333333,0,2.78E-04,0,0.019903548,0,0.006469337,0,0.003269966,0,0.001674627,0,1.75E-04,1.24E-06,29.22535,5.44E-08,9.325229,3.26E-08,4.8507032,1.36E-07,2.252615,4.02E-10,0.026096141,0,2.3333333,0,0.74641764,0,0.39314196,0,0.1703282,0,0.023737445,11.894102,913.829,2017/9/10
31,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
32,LevelOne,0,0.033408076,2.6390574,8.922585,0,0.97948056,0.583449,1.6009835,0.42415103,4.0323753,0.010995914,0.016,153.92363,888.3418,-6.86E-06,0.5381525,1,50,0,0.29934472,0,0.016,0,0.005,0,0.002714568,0,0.001333333,0,2.78E-04,0,0.019903548,0,0.006469337,0,0.003269966,0,0.001674627,0,1.75E-04,1.24E-06,29.22535,5.44E-08,9.325229,3.26E-08,4.8507032,1.36E-07,2.252615,4.02E-10,0.026096141,0,2.3333333,0,0.74641764,0,0.39314196,0,0.1703282,0,0.023737445,11.894102,913.829,2017/9/10
33,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
34,LevelTwoA,0,0.03658779,2.5866477,8.748778,0,0.976002,0.5998386,2.4152794,0.38594082,2.6139545,0.011666666,0.016333334,134.9701,735.8155,-1.14E-05,0.45811388,1,44,0,0.3085319,0,0.02,0,0.004705882,0,0.0025,0,0.001304348,0,3.23E-04,0,0.023890126,0,0.005436717,0,0.002659323,0,0.001303222,0,2.43E-04,1.41E-07,18.00464,6.15E-08,3.0590384,3.80E-09,1.5452101,5.79E-09,0.68719375,2.31E-09,0.044220936,0,2.248983,0,0.51166075,0,0.2674162,0,0.12769239,0,0.026901005,10.62765,640.77203,2017/9/10
35,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
36,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
37,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
38,LevelTwoB,0,0.042253517,2.4680102,8.409386,0,0.9845764,0.5920009,2.093099,0.35645938,1.8192104,0.011333333,0.016,123.5,653.36365,0,0.43152785,1,49,0,0.2741128,0,0.02,0,0.004615385,0,0.002352941,0,0.00125,0,3.77E-04,0,0.0194591,0,0.00495143,0,0.002398424,0,0.001192176,0,2.95E-04,2.67E-10,8.501348,0,1.9981711,4.61E-10,0.8068867,4.36E-11,0.4151141,3.66E-11,0.05365686,0,1.56,0,0.41960073,0,0.2037655,0,0.103063636,0,0.028128091,8.937623,504.62305,2017/9/10
39,LevelTwoB,0,0.042253517,2.4680102,8.409386,0,0.9845764,0.5920009,2.093099,0.35645938,1.8192104,0.011333333,0.016,123.5,653.36365,0,0.43152785,1,49,0,0.2741128,0,0.02,0,0.004615385,0,0.002352941,0,0.00125,0,3.77E-04,0,0.0194591,0,0.00495143,0,0.002398424,0,0.001192176,0,2.95E-04,2.67E-10,8.501348,0,1.9981711,4.61E-10,0.8068867,4.36E-11,0.4151141,3.66E-11,0.05365686,0,1.56,0,0.41960073,0,0.2037655,0,0.103063636,0,0.028128091,8.937623,504.62305,2017/9/10
40,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
41,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
42,LevelTwoB,0,0.042253517,2.4680102,8.409386,0,0.9845764,0.5920009,2.093099,0.35645938,1.8192104,0.011333333,0.016,123.5,653.36365,0,0.43152785,1,49,0,0.2741128,0,0.02,0,0.004615385,0,0.002352941,0,0.00125,0,3.77E-04,0,0.0194591,0,0.00495143,0,0.002398424,0,0.001192176,0,2.95E-04,2.67E-10,8.501348,0,1.9981711,4.61E-10,0.8068867,4.36E-11,0.4151141,3.66E-11,0.05365686,0,1.56,0,0.41960073,0,0.2037655,0,0.103063636,0,0.028128091,8.937623,504.62305,2017/9/10
43,LevelThree,0,0.049129963,1.9802417,8.092457,0,0.98921484,0.5169331,4.9564905,0.35228416,2.1056044,0.011333333,0.016333334,122.23821,719.83997,-5.82E-06,0.48084506,1,43,0,0.24462526,0,0.02,0,0.004,0,0.002352941,0,0.001188386,0,3.45E-04,0,0.017855288,0,0.003541517,0,0.001890401,0,9.03E-04,0,1.41E-04,2.87E-09,5.13684,0,0.5896634,1.64E-10,0.37155128,1.02E-10,0.14608112,2.10E-10,0.014036175,0,2.4326875,0,0.38897777,0,0.21090454,0,0.0999,0,0.02759301,10.413291,607.445,2017/9/10
